date,cases,deaths,new_cases,new_deaths,cases_7day_avg,deaths_7day_avg,fatality_rate
2021-06-23,33693339,598796,12490.0,386.0,12380.857142857143,299.85714285714283,1.7771940026484165
2021-06-24,33707534,599139,14195.0,343.0,12342.714285714286,299.2857142857143,1.7774631629830884
2021-06-25,33732043,599667,24509.0,528.0,12776.57142857143,284.7142857142857,1.777736972527872
2021-06-26,33741088,599827,9045.0,160.0,12313.857142857143,282.85714285714283,1.7777346124701134
2021-06-27,33745750,599903,4662.0,76.0,12712.285714285714,270.42857142857144,1.7777142306809004
2021-06-28,33759515,600062,13765.0,159.0,12816.714285714286,261.85714285714283,1.7774603693210642
2021-06-29,33767046,600390,7531.0,328.0,13543.42857142857,248.85714285714286,1.7780353069676273
2021-06-30,33782325,600689,15279.0,299.0,13006.42857142857,238.14285714285714,1.7781162190583388
2021-07-01,33797251,600972,14926.0,283.0,12950.57142857143,233.0,1.7781682894860293
2021-07-02,33826847,601409,29596.0,437.0,12293.42857142857,227.42857142857142,1.777904396469467
2021-07-03,33832133,601494,5286.0,85.0,14441.57142857143,224.0,1.7778778535778397
2021-07-04,33836404,601534,4271.0,40.0,15135.857142857143,228.0,1.777771656822634
2021-07-05,33845569,601654,9165.0,120.0,15987.0,223.42857142857142,1.7776448078033493
2021-07-06,33868137,601958,22568.0,304.0,18469.571428571428,227.14285714285714,1.7773578747481742
2021-07-07,33888276,602285,20139.0,327.0,19149.0,226.14285714285714,1.777266568532433
2021-07-08,33909160,602536,20884.0,251.0,20220.0,237.42857142857142,1.77691219717622
2021-07-09,33956134,602999,46974.0,463.0,23148.0,253.42857142857142,1.7758175886571776
2021-07-10,33966176,603077,10042.0,78.0,23710.428571428572,260.7142857142857,1.7755222136280515
2021-07-11,33977944,603196,11768.0,119.0,25279.14285714286,260.2857142857143,1.7752575023373987
2021-07-12,34007605,603428,29661.0,232.0,26857.428571428572,275.14285714285717,1.7743913457004692
2021-07-13,34034110,603783,26505.0,355.0,31294.14285714286,273.7142857142857,1.7740525607985633
2021-07-14,34065230,604107,31120.0,324.0,31869.714285714286,272.85714285714283,1.773383006661044
2021-07-15,34097162,604462,31932.0,355.0,33100.57142857143,269.57142857142856,1.7727633754386949
2021-07-16,34175193,604915,78031.0,453.0,35893.71428571428,264.7142857142857,1.7700412108865047
2021-07-17,34189264,604987,14071.0,72.0,37810.857142857145,255.0,1.7695233217070716
2021-07-18,34209648,605083,20384.0,96.0,40201.42857142857,260.7142857142857,1.7687495644503564
2021-07-19,34258861,605281,49213.0,198.0,43700.71428571428,251.14285714285714,1.766786700818804
2021-07-20,34298786,605568,39925.0,287.0,49807.857142857145,265.2857142857143,1.7655668629204546
2021-07-21,34346640,605932,47854.0,364.0,51997.0,274.42857142857144,1.7641667423654832
2021-07-22,34403067,606220,56427.0,288.0,53178.42857142857,275.57142857142856,1.7621103374300902
2021-07-23,34523848,606772,120781.0,552.0,57367.71428571428,283.0,1.7575445240055512
2021-07-24,34553243,606908,29395.0,136.0,60971.42857142857,307.2857142857143,1.7564429480613442
2021-07-25,34581897,607012,28654.0,104.0,64645.142857142855,309.57142857142856,1.7552883232519028
2021-07-26,34660435,607262,78538.0,250.0,66920.71428571429,314.0,1.752032252336129
2021-07-27,34725586,607719,65151.0,457.0,76974.28571428571,361.57142857142856,1.750061179673109
2021-07-28,34799156,608099,73570.0,380.0,79165.85714285714,367.42857142857144,1.7474533003041797
2021-07-29,34871512,608418,72356.0,319.0,81560.14285714286,386.14285714285717,1.744742241173827
2021-07-30,35062668,609303,191156.0,885.0,85693.85714285714,403.57142857142856,1.7377542404930508
2021-07-31,35107404,609480,44736.0,177.0,90397.85714285714,422.0,1.736044054980539
2021-08-01,35152818,609715,45414.0,235.0,94517.14285714286,446.14285714285717,1.7344697656955979
2021-08-02,35260292,610087,107474.0,372.0,99838.28571428571,475.85714285714283,1.730238081976179
2021-08-03,35358371,610673,98079.0,586.0,108524.42857142857,511.0,1.7270959683069111
2021-08-04,35460776,611222,102405.0,549.0,111266.0,524.4285714285714,1.7236565832625883
2021-08-05,35570380,611749,109604.0,527.0,109883.14285714286,510.85714285714283,1.7198270021292996
2021-08-06,35822339,612880,251959.0,1131.0,117157.14285714286,532.1428571428571,1.7108877228815236
2021-08-07,35886266,613151,63927.0,271.0,120048.85714285714,565.8571428571429,1.7085951489073843
2021-08-08,35922000,613291,35734.0,140.0,127490.14285714286,603.0,1.707285229107511
2021-08-09,36080392,613812,158392.0,521.0,132381.85714285713,675.0,1.7012342881418805
2021-08-10,36198713,614634,118321.0,822.0,128775.14285714286,665.1428571428571,1.697944344043392
2021-08-11,36353207,615443,154494.0,809.0,130247.85714285714,666.2857142857143,1.6929538018475232
2021-08-12,36497053,616474,143846.0,1031.0,131985.7142857143,676.8571428571429,1.6891062409888271
2021-08-13,36723765,617536,226712.0,1062.0,136975.7142857143,752.0,1.6815705034600892
2021-08-14,36798001,617815,74236.0,279.0,141677.0,781.2857142857143,1.6789363096109486
2021-08-15,36845900,618029,47899.0,214.0,143500.57142857142,837.7142857142857,1.6773345202586991
2021-08-16,37039222,619076,193322.0,1047.0,145147.7142857143,944.8571428571429,1.6714065970392142
2021-08-17,37190452,620103,151230.0,1027.0,146903.57142857142,1001.0,1.6673715070739126
2021-08-18,37357711,621307,167259.0,1204.0,149668.2857142857,1043.5714285714287,1.663129199752094
2021-08-19,37513087,623088,155376.0,1781.0,149313.57142857142,1044.857142857143,1.6609883372168226
2021-08-20,37752090,624543,239003.0,1455.0,151148.42857142858,1086.0,1.6543269524945508
2021-08-21,37845679,625120,93589.0,577.0,151718.85714285713,1144.4285714285713,1.6517605616218431
2021-08-22,37891095,625343,45416.0,223.0,153418.14285714287,1193.7142857142858,1.6503693018108871
2021-08-23,38097261,626678,206166.0,1335.0,157477.42857142858,1256.142857142857,1.6449424015023022
2021-08-24,38252484,628114,155223.0,1436.0,157383.42857142858,1298.142857142857,1.6420214697691264
2021-08-25,38431638,629663,179154.0,1549.0,155454.2857142857,1309.142857142857,1.6383975098849546
2021-08-26,38615429,631881,183791.0,2218.0,156570.57142857142,1323.5714285714287,1.6363433383065613
2021-08-27,38853774,633630,238345.0,1749.0,159678.0,1377.857142857143,1.6308068297303628
2021-08-28,38933859,634284,80085.0,654.0,163229.14285714287,1378.7142857142858,1.629132113515899
2021-08-29,38987089,634608,53230.0,324.0,164833.85714285713,1449.857142857143,1.6277388650381155
2021-08-30,39215007,636323,227918.0,1715.0,164175.14285714287,1569.2857142857142,1.6226517567624048
2021-08-31,39395088,637765,180081.0,1442.0,163713.7142857143,1596.4285714285713,1.6188947210880706
2021-09-01,39585475,639812,190387.0,2047.0,164754.42857142858,1597.2857142857142,1.6162797086557632
2021-09-02,39764655,642866,179180.0,3054.0,166399.14285714287,1612.0,1.616676920747835
2021-09-03,39999770,644805,235115.0,1939.0,146701.85714285713,1455.7142857142858,1.6120217691251726
2021-09-04,40087140,645465,87370.0,660.0,150988.0,1549.0,1.6101547778165266
2021-09-05,40151883,645892,64743.0,427.0,149164.7142857143,1584.857142857143,1.608621941840187
2021-09-06,40241920,646513,90037.0,621.0,147382.7142857143,1609.2857142857142,1.606565988899138
2021-09-07,40452004,648608,210084.0,2095.0,148322.0,1683.0,1.603401403796954
2021-09-08,40629628,650906,177624.0,2298.0,148779.85714285713,1709.0,1.602047648578028
2021-09-09,40796334,654131,166706.0,3225.0,146619.42857142858,1702.857142857143,1.6034063256762239
2021-09-10,41038024,656586,241690.0,2455.0,163426.0,1921.7142857142858,1.59994545546345
2021-09-11,41128599,657428,90575.0,842.0,154215.2857142857,1897.0,1.5984692306197934
2021-09-12,41178219,657812,49620.0,384.0,153585.14285714287,1959.0,1.5974755974754518
2021-09-13,41385902,659965,207683.0,2153.0,152434.7142857143,1996.5714285714287,1.594661389765046
2021-09-14,41531511,661887,145609.0,1922.0,147997.57142857142,1997.5714285714287,1.5936983366677895
2021-09-15,41704724,664619,173213.0,2732.0,145960.14285714287,2020.5714285714287,1.5936300165899673
2021-09-16,41863377,668107,158653.0,3488.0,145447.42857142858,2024.0,1.5959223738686918
2021-09-17,42074007,670569,210630.0,2462.0,139975.7142857143,2046.142857142857,1.5937844950208806
2021-09-18,42150320,671572,76313.0,1003.0,136585.7142857143,2120.4285714285716,1.5932785326422196
2021-09-19,42196351,671980,46031.0,408.0,130645.42857142857,2114.285714285714,1.5925073710757596
2021-09-20,42365732,674288,169381.0,2308.0,126420.14285714286,2088.4285714285716,1.59158822040417
2021-09-21,42487611,676730,121879.0,2442.0,121268.57142857143,2091.8571428571427,1.5927701842308808
2021-09-22,42619242,679419,131631.0,2689.0,119211.71428571429,2070.285714285714,1.5941602152379903
2021-09-23,42748318,682726,129076.0,3307.0,120586.85714285714,2096.714285714286,1.5970827203072646
2021-09-24,42922887,685212,174569.0,2486.0,118375.42857142857,2088.8571428571427,1.5963791065591653
